Kategoria: Wszystko

Tydzień,React: (Cały świat),Angular: (Cały świat),Vue: (Cały świat)
2019-04-28,48,31,65
2019-05-05,53,36,59
2019-05-12,55,37,52
2019-05-19,53,36,55
2019-05-26,51,36,71
2019-06-02,50,35,60
2019-06-09,54,37,55
2019-06-16,51,38,57
2019-06-23,53,40,59
2019-06-30,55,36,58
2019-07-07,56,40,59
2019-07-14,59,37,64
2019-07-21,56,37,65
2019-07-28,56,36,69
2019-08-04,57,35,66
2019-08-11,55,31,66
2019-08-18,57,36,61
2019-08-25,56,36,58
2019-09-01,57,35,60
2019-09-08,56,38,59
2019-09-15,57,37,56
2019-09-22,57,37,56
2019-09-29,54,33,61
2019-10-06,54,34,65
2019-10-13,55,36,61
2019-10-20,53,34,66
2019-10-27,51,30,63
2019-11-03,56,34,57
2019-11-10,54,34,56
2019-11-17,56,36,63
2019-11-24,56,35,61
2019-12-01,56,34,54
2019-12-08,54,33,53
2019-12-15,55,33,61
2019-12-22,43,22,66
2019-12-29,40,21,69
2020-01-05,54,33,58
2020-01-12,57,31,64
2020-01-19,58,34,59
2020-01-26,61,34,59
2020-02-02,59,35,57
2020-02-09,63,36,65
2020-02-16,62,38,69
2020-02-23,63,35,57
2020-03-01,63,34,51
2020-03-08,57,32,42
2020-03-15,50,31,35
2020-03-22,55,28,26
2020-03-29,55,30,27
2020-04-05,61,30,28
2020-04-12,57,30,28
2020-04-19,60,31,28
2020-04-26,69,28,29
2020-05-03,64,30,30
2020-05-10,64,30,30
2020-05-17,65,31,30
2020-05-24,64,31,31
2020-05-31,63,31,33
2020-06-07,61,30,31
2020-06-14,56,29,31
2020-06-21,60,30,32
2020-06-28,62,30,35
2020-07-05,60,33,35
2020-07-12,67,32,35
2020-07-19,62,32,34
2020-07-26,60,30,35
2020-08-02,63,31,35
2020-08-09,60,28,34
2020-08-16,60,29,36
2020-08-23,62,29,41
2020-08-30,61,28,40
2020-09-06,60,29,39
2020-09-13,59,28,37
2020-09-20,59,28,37
2020-09-27,54,25,33
2020-10-04,54,25,35
2020-10-11,48,24,32
2020-10-18,47,23,32
2020-10-25,46,21,33
2020-11-01,43,21,24
2020-11-08,45,21,25
2020-11-15,48,21,26
2020-11-22,47,21,25
2020-11-29,47,22,26
2020-12-06,45,21,27
2020-12-13,47,21,27
2020-12-20,41,17,22
2020-12-27,37,15,21
2021-01-03,45,20,23
2021-01-10,46,21,23
2021-01-17,51,23,26
2021-01-24,47,22,25
2021-01-31,46,23,26
2021-02-07,45,23,24
2021-02-14,47,23,25
2021-02-21,47,24,27
2021-02-28,51,24,27
2021-03-07,50,23,27
2021-03-14,52,24,27
2021-03-21,49,23,27
2021-03-28,49,21,26
2021-04-04,47,22,27
2021-04-11,49,22,27
2021-04-18,49,22,28
2021-04-25,50,22,29
2021-05-02,47,22,28
2021-05-09,47,22,32
2021-05-16,50,25,42
2021-05-23,49,23,44
2021-05-30,49,23,45
2021-06-06,51,24,41
2021-06-13,48,23,38
2021-06-20,49,24,44
2021-06-27,49,24,40
2021-07-04,48,23,43
2021-07-11,49,24,39
2021-07-18,48,22,39
2021-07-25,50,23,47
2021-08-01,47,22,45
2021-08-08,50,22,45
2021-08-15,49,22,47
2021-08-22,47,21,41
2021-08-29,47,23,41
2021-09-05,48,23,39
2021-09-12,53,25,42
2021-09-19,50,24,39
2021-09-26,50,23,48
2021-10-03,51,23,51
2021-10-10,50,22,52
2021-10-17,52,24,52
2021-10-24,52,25,53
2021-10-31,49,21,46
2021-11-07,52,25,44
2021-11-14,53,24,42
2021-11-21,54,24,38
2021-11-28,54,24,42
2021-12-05,54,24,39
2021-12-12,52,24,51
2021-12-19,48,21,46
2021-12-26,44,17,47
2022-01-02,63,28,44
2022-01-09,69,30,41
2022-01-16,65,29,38
2022-01-23,73,31,44
2022-01-30,71,31,43
2022-02-06,78,33,50
2022-02-13,87,35,55
2022-02-20,82,32,50
2022-02-27,83,34,48
2022-03-06,82,32,44
2022-03-13,82,33,46
2022-03-20,85,34,42
2022-03-27,100,34,45
2022-04-03,94,35,46
2022-04-10,90,31,50
2022-04-17,93,33,47
2022-04-24,89,33,45
2022-05-01,86,32,51
2022-05-08,94,33,47
2022-05-15,84,32,45
2022-05-22,82,32,46
2022-05-29,78,31,50
2022-06-05,78,32,46
2022-06-12,81,32,44
2022-06-19,84,32,45
2022-06-26,83,31,52
2022-07-03,82,33,51
2022-07-10,83,32,45
2022-07-17,85,33,46
2022-07-24,85,33,48
2022-07-31,80,31,46
2022-08-07,82,30,44
2022-08-14,79,28,45
2022-08-21,86,32,43
2022-08-28,79,28,46
2022-09-04,77,29,40
2022-09-11,83,31,41
2022-09-18,86,33,42
2022-09-25,83,30,41
2022-10-02,79,26,40
2022-10-09,84,31,45
2022-10-16,86,29,44
2022-10-23,82,27,48
2022-10-30,83,29,41
2022-11-06,83,30,44
2022-11-13,85,31,45
2022-11-20,81,30,39
2022-11-27,83,30,38
2022-12-04,80,29,37
2022-12-11,81,30,41
2022-12-18,80,29,41
2022-12-25,70,22,45
2023-01-01,73,26,45
2023-01-08,83,29,43
2023-01-15,83,30,43
2023-01-22,82,30,43
2023-01-29,86,31,46
2023-02-05,86,33,46
2023-02-12,87,31,50
2023-02-19,89,31,46
2023-02-26,91,30,44
2023-03-05,84,27,45
2023-03-12,84,31,42
2023-03-19,84,30,43
2023-03-26,85,30,44
2023-04-02,78,28,49
2023-04-09,76,26,47
2023-04-16,76,29,41
2023-04-23,80,27,41
2023-04-30,72,25,43
2023-05-07,75,27,41
2023-05-14,74,27,40
2023-05-21,78,27,40
2023-05-28,75,26,43
2023-06-04,72,27,40
2023-06-11,78,26,41
2023-06-18,75,27,39
2023-06-25,71,26,43
2023-07-02,76,26,43
2023-07-09,79,28,47
2023-07-16,75,28,61
2023-07-23,76,27,65
2023-07-30,76,27,59
2023-08-06,73,26,51
2023-08-13,70,24,46
2023-08-20,75,26,43
2023-08-27,73,24,48
2023-09-03,72,25,38
2023-09-10,75,25,41
2023-09-17,74,25,41
2023-09-24,76,25,41
2023-10-01,73,25,41
2023-10-08,74,25,43
2023-10-15,75,26,46
2023-10-22,75,24,50
2023-10-29,73,23,43
2023-11-05,75,25,39
2023-11-12,67,25,41
2023-11-19,69,24,40
2023-11-26,72,25,40
2023-12-03,75,24,40
2023-12-10,70,24,39
2023-12-17,66,24,40
2023-12-24,57,16,45
2023-12-31,61,20,44
2024-01-07,71,25,41
2024-01-14,74,25,42
2024-01-21,72,26,43
2024-01-28,83,29,46
2024-02-04,82,29,45
2024-02-11,77,28,51
2024-02-18,83,28,50
2024-02-25,83,28,47
2024-03-03,78,28,43
2024-03-10,81,28,44
2024-03-17,82,29,42
2024-03-24,76,25,49
2024-03-31,76,25,51
2024-04-07,76,26,46
2024-04-14,76,27,43
2024-04-21,79,27,40
2024-04-28,77,24,39
